Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Osteophyte	1/12	0.24042888624055422	0.7018161650984069	0	0	3.9292035398230087	5.60041531384312	COL2A1
Aedesalbopictus	1/12	0.24042888624055422	0.7018161650984069	0	0	3.9292035398230087	5.60041531384312	AIRE
RKO cell	1/12	0.24042888624055422	0.7018161650984069	0	0	3.9292035398230087	5.60041531384312	CMPK1
Apical meristem	1/12	0.24042888624055422	0.7018161650984069	0	0	3.9292035398230087	5.60041531384312	CLPB
B-50 cell	1/12	0.24042888624055422	0.7018161650984069	0	0	3.9292035398230087	5.60041531384312	CALM3
BEAS-2B cell	1/12	0.24042888624055422	0.7018161650984069	0	0	3.9292035398230087	5.60041531384312	FAM118A
Trophectoderm	1/12	0.24042888624055422	0.7018161650984069	0	0	3.9292035398230087	5.60041531384312	SF3B14
pro-B-lymphocyte cell line	1/12	0.24042888624055422	0.7018161650984069	0	0	3.9292035398230087	5.60041531384312	IL7
Schwann cell	3/75	0.24135398439383446	0.7018161650984069	0	0	1.8032407407407407	2.5632897773457364	GDNF;NINJ1;NTF3
Tendon	4/111	0.24393431408123897	0.7018161650984069	0	0	1.6185500489145142	2.2835415245003516	ITGB1;COL2A1;COL5A1;C5ORF42
Ear	6/186	0.24684642786950287	0.7018161650984069	0	0	1.444220730797912	2.020448750214743	NRP1;COL2A1;COL11A1;CEP152;HNRNPA2B1;MAP3K7
Mesenchyme	8/264	0.25063349195235296	0.7018161650984069	0	0	1.3547050561797753	1.8745915433014182	ITGB1;COL2A1;ZEB1;GDNF;VWF;PDGFD;SPRY1;FGF1
HUVEC cell	4/113	0.25380836959497066	0.7018161650984069	0	0	1.588688420751517	2.1783710322617393	ITGB1;NRP1;VWF;FGF1
Osteocyte	2/43	0.2545117723343658	0.7018161650984069	0	0	2.1097831377426854	2.8870445192091	ITGB1;VDR
Brain stem	1/13	0.25764347589160785	0.7018161650984069	0	0	3.6015855457227137	4.884392977098112	FGF1
Outer ear	1/13	0.25764347589160785	0.7018161650984069	0	0	3.6015855457227137	4.884392977098112	SIX5
Ruminal fluid	1/13	0.25764347589160785	0.7018161650984069	0	0	3.6015855457227137	4.884392977098112	PDE4D
SK-N-BE(2)C cell	1/13	0.25764347589160785	0.7018161650984069	0	0	3.6015855457227137	4.884392977098112	PHOX2A
Blastoderm	1/13	0.25764347589160785	0.7018161650984069	0	0	3.6015855457227137	4.884392977098112	MSL2
T-cell acute lymphoblastic leukemia cell	1/13	0.25764347589160785	0.7018161650984069	0	0	3.6015855457227137	4.884392977098112	NUP214
Cochlear ganglion	1/13	0.25764347589160785	0.7018161650984069	0	0	3.6015855457227137	4.884392977098112	TMPRSS3
jf1	1/13	0.25764347589160785	0.7018161650984069	0	0	3.6015855457227137	4.884392977098112	RLN1
yac1	1/13	0.25764347589160785	0.7018161650984069	0	0	3.6015855457227137	4.884392977098112	STAG1
KATO-III cell	1/13	0.25764347589160785	0.7018161650984069	0	0	3.6015855457227137	4.884392977098112	FZD1
Osteosarcoma cell	2/44	0.26294829134899	0.7130399612256395	0	0	2.0594446204202304	2.751001751705257	CALM3;NR3C1
Uterine adenocarcinoma cell	2/45	0.2713859115788708	0.7152822304329549	0	0	2.011447429484866	2.6233567776279294	STEAP3;EXOSC2
